iteracion  mejor_solucion    distancia_euclidiana                 distancia_hamming
0         0.9908533375619671        0.0                                 0
1         0.990849129267454        0.0                                 0
2         0.990849129267454        0.0                                 0
3         0.9996134607894439        0.0                                 0
4         0.9997418634794948        0.0                                 0
5         0.9979913749227479        0.0                                 0
6         0.9979913749227479        0.0                                 0
7         0.9970451028517027        0.0                                 0
8         0.9970451028517027        0.0                                 0
9         0.9974765809821695        0.0                                 0
10         0.9974762095446056        0.0                                 0
11         0.9972100206932726        0.0                                 0
12         0.9961377302411709        0.0                                 0
13         0.9961377302411709        0.0                                 0
14         0.9962146123242872        0.0                                 0
15         0.9972506053196988        0.0                                 0
16         0.9972669721513705        0.0                                 0
17         0.9989135711835008        0.0                                 0
18         1.0008345000913377        0.0                                 0
19         1.000827616339842        0.0                                 0
20         1.0008223564962493        0.0                                 0
21         1.0006288360657236        0.0                                 0
22         1.000620404051318        0.0                                 0
23         1.000620404051318        0.0                                 0
24         1.0006219696034075        0.0                                 0
25         1.0014714125212238        0.0                                 0
26         1.00021356238557        0.0                                 0
27         1.0000749772297097        0.0                                 0
28         1.0000749772297097        0.0                                 0
29         1.0000789068829732        0.0                                 0
30         1.0014219663266017        0.0                                 0
31         1.0014350539828591        0.0                                 0
32         1.0014960026800281        0.0                                 0
33         1.0014985982787439        0.0                                 0
34         1.0265075433876127        0.0                                 0
35         1.0266969226456806        0.0                                 0
36         1.0266969226456806        0.0                                 0
37         1.0271276473737523        0.0                                 0
38         1.0264633268175711        0.0                                 0
39         1.0264633268175711        0.0                                 0
40         1.0269368617223706        0.0                                 0
41         1.0270115735550043        0.0                                 0
42         1.0270115735550043        0.0                                 0
43         1.0274627590375336        0.0                                 0
44         1.0271783037650313        0.0                                 0
45         1.0271783037650313        0.0                                 0
46         1.0271801895472576        0.0                                 0
47         1.0306485353020187        0.0                                 0
48         1.0306485353020187        0.0                                 0
49         1.0278601612423022        0.0                                 0
50         1.0278601612423022        0.0                                 0
51         1.0278902977153617        0.0                                 0
52         1.0799256608913004        0.0                                 0
53         1.0799256608913004        0.0                                 0
54         1.080569469262249        0.0                                 0
55         1.0792907385513328        0.0                                 0
56         1.0792907385513328        0.0                                 0
57         1.0811764277079448        0.0                                 0
58         1.0811764277079448        0.0                                 0
59         1.0812755304535127        0.0                                 0
60         1.0800340615024482        0.0                                 0
61         1.080023527774232        0.0                                 0
62         1.080023527774232        0.0                                 0
63         1.0808504898402924        0.0                                 0
64         1.0804288203237458        0.0                                 0
65         1.0798304975823276        0.0                                 0
66         1.0752177857906113        0.0                                 0
67         0.8894795157372735        0.0                                 0
68         0.8894795157372735        0.0                                 0
69         0.8836690507303511        0.0                                 0
70         0.8822622964015102        0.0                                 0
71         0.8738402808370962        0.0                                 0
72         0.8699614956134143        0.0                                 0
73         0.8636431141846714        0.0                                 0
74         0.8632266189312944        0.0                                 0
75         0.8632266189312944        0.0                                 0
76         0.868230649554959        0.0                                 0
77         0.868230649554959        0.0                                 0
78         0.8848716421253852        0.0                                 0
