iteracion  mejor_solucion    distancia_euclidiana                 distancia_hamming
0         34.144071357046414        0.0                                 0
1         34.144071357046414        0.0                                 0
2         34.29438760224797        0.0                                 0
3         34.01027510866969        0.0                                 0
4         33.91066772322669        0.0                                 0
5         33.91066772322669        0.0                                 0
6         34.21730719437475        0.0                                 0
7         33.37436847358168        0.0                                 0
8         33.37436847358168        0.0                                 0
9         33.24025311819377        0.0                                 0
10         33.24025311819377        0.0                                 0
11         33.83572219280245        0.0                                 0
12         33.83421493746074        0.0                                 0
13         33.83421493746074        0.0                                 0
14         33.905913918040305        0.0                                 0
15         33.7628006755266        0.0                                 0
16         33.7628006755266        0.0                                 0
17         33.68194385254594        0.0                                 0
18         33.434400358213956        0.0                                 0
19         33.434400358213956        0.0                                 0
20         33.4781124263791        0.0                                 0
21         32.96709991369295        0.0                                 0
22         32.96709991369295        0.0                                 0
23         31.16524957333415        0.0                                 0
24         31.15253145402036        0.0                                 0
25         30.313712750227463        0.0                                 0
26         30.313712750227463        0.0                                 0
27         33.17493331442015        0.0                                 0
28         33.17493331442015        0.0                                 0
29         33.128575387904185        0.0                                 0
30         33.128575387904185        0.0                                 0
31         33.074810359647785        0.0                                 0
32         33.074810359647785        0.0                                 0
33         34.48653473853929        0.0                                 0
34         33.71090368629862        0.0                                 0
35         33.71090368629862        0.0                                 0
36         33.770890627631694        0.0                                 0
37         35.50462302160993        0.0                                 0
38         32.84717605089639        0.0                                 0
39         32.840525612976485        0.0                                 0
40         32.840525612976485        0.0                                 0
41         33.480968209493554        0.0                                 0
42         33.480968209493554        0.0                                 0
43         34.140487843890654        0.0                                 0
44         32.615020906355355        0.0                                 0
45         32.615020906355355        0.0                                 0
46         34.85421846737819        0.0                                 0
47         34.34152926848633        0.0                                 0
48         34.34152926848633        0.0                                 0
49         36.0844714094404        0.0                                 0
50         34.361433069250886        0.0                                 0
51         34.361433069250886        0.0                                 0
52         34.80200901704737        0.0                                 0
53         36.645790095201804        0.0                                 0
54         38.18458860611868        0.0                                 0
55         40.691122957578216        0.0                                 0
56         40.46647486254155        0.0                                 0
57         40.46647486254155        0.0                                 0
58         40.63658419497976        2.23606797749979                                 5
59         40.29672816352855        0.0                                 0
60         40.29672816352855        0.0                                 0
61         42.69829468845717        0.0                                 0
62         42.69317130707599        0.0                                 0
63         42.66831170420768        0.0                                 0
64         42.65651353776389        0.0                                 0
65         42.65651353776389        0.0                                 0
66         42.533425045447935        0.0                                 0
67         40.6219066359944        0.0                                 0
68         40.6219066359944        0.0                                 0
69         43.25225008006896        0.0                                 0
70         43.24957456131188        0.0                                 0
71         43.24957456131188        0.0                                 0
72         43.50352206272612        0.0                                 0
73         40.96562290668517        0.0                                 0
74         40.96562290668517        0.0                                 0
75         43.31470500559828        0.0                                 0
76         43.70253660773419        0.0                                 0
77         42.5618889247946        0.0                                 0
78         42.165100060543956        0.0                                 0
79         42.16480954267562        0.0                                 0
80         42.16480954267562        0.0                                 0
81         40.53833835314896        0.0                                 0
82         39.92327626166428        0.0                                 0
83         39.75770647810617        0.0                                 0
84         36.85311479868987        0.0                                 0
85         36.73478830254784        0.0                                 0
86         36.73478830254784        0.0                                 0
87         35.050107249683776        0.0                                 0
88         35.005806444896336        0.0                                 0
89         35.005806444896336        0.0                                 0
90         37.82532844187626        0.0                                 0
91         37.81548137571962        0.0                                 0
92         37.81548137571962        0.0                                 0
93         38.006097499768856        0.0                                 0
94         38.10018550761986        0.0                                 0
95         38.118301883919116        0.0                                 0
96         38.11867767670074        0.0                                 0
97         36.03899250434351        0.0                                 0
98         33.15603439198969        0.0                                 0
99         33.129217349015136        0.0                                 0
100         33.129217349015136        0.0                                 0
101         30.16526260961571        0.0                                 0
102         30.151380429629004        0.0                                 0
103         28.372447698669784        0.0                                 0
104         27.734356530260207        0.0                                 0
105         27.734356530260207        0.0                                 0
106         23.476030384782963        0.0                                 0
107         23.476030384782963        2.23606797749979                                 5
108         23.476030384782963        0.0                                 0
109         23.04243747938382        0.0                                 0
110         23.04243747938382        0.0                                 0
111         24.45200042192561        0.0                                 0
112         24.45200042192561        0.0                                 0
113         24.45221665068446        0.0                                 0
114         24.45221665068446        0.0                                 0
115         23.712751359366397        0.0                                 0
116         21.111135724510678        0.0                                 0
117         21.111135724510678        0.0                                 0
118         21.192621029093576        0.0                                 0
119         21.141765751061026        0.0                                 0
120         21.141765751061026        0.0                                 0
121         21.145939708041038        0.0                                 0
122         21.147703164682454        0.0                                 0
123         21.145313441446675        0.0                                 0
124         21.14322556044873        0.0                                 0
125         20.664563828911515        0.0                                 0
126         20.600718016217765        0.0                                 0
127         20.600718016217765        0.0                                 0
128         20.72000554487929        0.0                                 0
129         21.75221607812046        0.0                                 0
130         19.124336089771287        0.0                                 0
131         17.886244399052377        0.0                                 0
132         17.40251920888036        0.0                                 0
133         17.40251920888036        0.0                                 0
134         18.123496032462395        2.23606797749979                                 5
135         15.824825083432325        0.0                                 0
136         15.824825083432325        0.0                                 0
137         15.82561320246746        0.0                                 0
138         15.618865372515717        0.0                                 0
139         15.618865372515717        0.0                                 0
140         15.620091893677463        2.23606797749979                                 5
141         15.51388741717736        0.0                                 0
142         15.51388741717736        2.23606797749979                                 5
143         15.51388741717736        0.0                                 0
144         15.51487757535475        2.23606797749979                                 5
145         15.51487757535475        0.0                                 0
146         15.553064191432389        0.0                                 0
147         15.553064191432389        0.0                                 0
148         15.460219300502091        0.0                                 0
149         15.460219300502091        0.0                                 0
150         15.14206862005783        0.0                                 0
151         15.14206862005783        0.0                                 0
152         15.419714683715172        2.23606797749979                                 5
153         15.419246023216777        0.0                                 0
154         15.243318051971782        0.0                                 0
155         15.224932475968167        0.0                                 0
156         14.65283142213026        0.0                                 0
157         14.616046798530332        0.0                                 0
158         14.616046798530332        0.0                                 0
159         13.024659643825945        0.0                                 0
160         12.885840475299327        0.0                                 0
161         12.885840475299327        2.23606797749979                                 5
162         12.882259413495122        0.0                                 0
163         12.882259413495122        2.23606797749979                                 5
164         12.882259413495122        2.23606797749979                                 5
165         12.882259413495122        2.23606797749979                                 5
166         12.882259413495122        0.0                                 0
167         13.285460736541662        0.0                                 0
168         13.285460736541662        0.0                                 0
169         13.194089000580751        0.0                                 0
170         13.183769537703109        0.0                                 0
171         13.183769537703109        2.23606797749979                                 5
172         13.183769537703109        2.23606797749979                                 5
173         12.609490780763888        0.0                                 0
174         12.609416549606518        0.0                                 0
175         12.578389857481469        0.0                                 0
176         12.204360638764975        0.0                                 0
177         12.204360638764975        0.0                                 0
178         12.21540260549863        0.0                                 0
179         12.21540260549863        0.0                                 0
180         12.225650744254349        2.23606797749979                                 5
181         12.225650744254349        2.23606797749979                                 5
182         12.225650744254349        2.23606797749979                                 5
183         11.793679040194467        0.0                                 0
184         11.767691154917452        0.0                                 0
185         11.767673111752687        0.0                                 0
186         11.44986050691068        0.0                                 0
187         11.44986050691068        2.23606797749979                                 5
188         11.360831514740015        0.0                                 0
189         11.360831514740015        2.23606797749979                                 5
190         11.355357008127346        0.0                                 0
191         11.355357008127346        2.23606797749979                                 5
192         11.253972687364811        0.0                                 0
193         11.253972687364811        2.23606797749979                                 5
194         11.194783965657003        0.0                                 0
195         10.656555407678256        0.0                                 0
196         10.640504910840376        0.0                                 0
197         10.591402246984844        0.0                                 0
198         10.589342188244359        0.0                                 0
199         10.589342188244359        2.23606797749979                                 5
200         10.42304566216477        0.0                                 0
201         10.42304566216477        2.23606797749979                                 5
202         10.42304566216477        2.23606797749979                                 5
203         10.42304566216477        2.23606797749979                                 5
204         10.42304566216477        2.23606797749979                                 5
205         10.418981938910795        0.0                                 0
206         10.418981938910795        2.23606797749979                                 5
207         8.8415816648179        0.0                                 0
208         8.8415816648179        2.23606797749979                                 5
209         8.836398230418816        0.0                                 0
210         8.836398230418816        2.23606797749979                                 5
211         8.836398230418816        2.23606797749979                                 5
212         8.836398230418816        0.0                                 0
213         8.84105149464122        2.23606797749979                                 5
214         8.84105149464122        2.23606797749979                                 5
215         8.84105149464122        2.23606797749979                                 5
216         8.84105149464122        2.23606797749979                                 5
217         8.84105149464122        2.23606797749979                                 5
218         8.7670868933798        0.0                                 0
219         8.7670868933798        2.23606797749979                                 5
220         8.7670868933798        2.23606797749979                                 5
221         8.7670868933798        2.23606797749979                                 5
222         8.7670868933798        2.23606797749979                                 5
223         8.7670868933798        2.23606797749979                                 5
224         8.7670868933798        2.23606797749979                                 5
225         8.742203257790802        0.0                                 0
226         8.742203257790802        2.23606797749979                                 5
227         8.726978889168336        0.0                                 0
228         8.726978889168336        2.23606797749979                                 5
229         8.726978889168336        2.23606797749979                                 5
230         8.708203544848018        0.0                                 0
231         8.708203544848018        2.23606797749979                                 5
232         8.708203544848018        2.23606797749979                                 5
233         8.70775932069744        0.0                                 0
234         8.70775932069744        0.0                                 0
235         8.710091099932653        2.23606797749979                                 5
236         8.710091099932653        0.0                                 0
237         8.643503411664668        0.0                                 0
238         8.635567183843895        0.0                                 0
239         6.654872752506899        0.0                                 0
240         6.654872752506899        2.23606797749979                                 5
241         6.654872752506899        2.23606797749979                                 5
242         6.654872752506899        2.23606797749979                                 5
243         6.654872752506899        2.23606797749979                                 5
244         6.640073604241475        0.0                                 0
245         6.640073604241475        1.7320508075688772                                 3
246         6.639014969740825        0.0                                 0
247         6.639014969740825        2.23606797749979                                 5
248         6.639014969740825        2.23606797749979                                 5
249         6.639014969740825        2.23606797749979                                 5
250         6.399740863337173        0.0                                 0
251         6.399740863337173        2.23606797749979                                 5
252         6.399740863337173        2.23606797749979                                 5
253         6.399740863337173        2.23606797749979                                 5
254         6.399740863337173        2.23606797749979                                 5
255         6.39236381517616        0.0                                 0
256         6.39236381517616        2.23606797749979                                 5
257         6.39236381517616        2.23606797749979                                 5
258         6.296719954477175        0.0                                 0
259         6.296719954477175        2.23606797749979                                 5
260         6.296719954477175        2.23606797749979                                 5
261         6.296719954477175        2.23606797749979                                 5
262         6.296719954477175        2.23606797749979                                 5
263         6.2391952046867        0.0                                 0
264         6.2391952046867        2.23606797749979                                 5
265         6.2391952046867        2.23606797749979                                 5
266         6.2391952046867        2.23606797749979                                 5
267         6.2366260996153295        0.0                                 0
268         6.236479543723816        0.0                                 0
269         6.236479543723816        2.23606797749979                                 5
270         6.236479543723816        2.23606797749979                                 5
271         6.236479543723816        2.23606797749979                                 5
272         6.236479543723816        2.23606797749979                                 5
273         6.236479543723816        2.23606797749979                                 5
274         6.236479543723816        2.23606797749979                                 5
275         6.232355265940158        0.0                                 0
276         6.232355265940158        2.23606797749979                                 5
277         6.232355265940158        2.23606797749979                                 5
278         6.232355265940158        2.23606797749979                                 5
279         6.232355265940158        2.23606797749979                                 5
280         6.232355265940158        2.23606797749979                                 5
281         6.232355265940158        2.23606797749979                                 5
282         6.232355265940158        2.23606797749979                                 5
283         6.232355265940158        2.23606797749979                                 5
284         6.232355265940158        2.23606797749979                                 5
285         6.232355265940158        2.23606797749979                                 5
286         6.232355265940158        2.23606797749979                                 5
287         6.232355265940158        2.23606797749979                                 5
288         6.232355265940158        2.23606797749979                                 5
289         6.232355265940158        2.23606797749979                                 5
290         6.232355265940158        2.23606797749979                                 5
291         6.232355265940158        2.23606797749979                                 5
292         6.232355265940158        2.23606797749979                                 5
293         6.2319004523785555        0.0                                 0
294         6.14859578765127        0.0                                 0
295         6.144733338092982        0.0                                 0
296         6.144733338092982        2.23606797749979                                 5
297         6.144733338092982        1.7320508075688772                                 3
298         6.144733338092982        2.23606797749979                                 5
299         6.144733338092982        2.23606797749979                                 5
300         6.137578069498339        0.0                                 0
301         6.128482290023014        0.0                                 0
302         6.128482290023014        2.23606797749979                                 5
303         6.128482290023014        2.23606797749979                                 5
304         6.128482290023014        2.23606797749979                                 5
305         6.128482290023014        2.23606797749979                                 5
306         6.128482290023014        2.23606797749979                                 5
307         6.128482290023014        2.23606797749979                                 5
308         6.128482290023014        2.23606797749979                                 5
309         6.128482290023014        2.23606797749979                                 5
310         6.128482290023014        2.23606797749979                                 5
311         6.070727502166348        0.0                                 0
312         6.070727502166348        2.23606797749979                                 5
313         6.070119035557982        0.0                                 0
314         6.070119035557982        2.23606797749979                                 5
315         6.070119035557982        2.23606797749979                                 5
316         6.070119035557982        2.23606797749979                                 5
317         6.070119035557982        2.23606797749979                                 5
318         6.070119035557982        2.23606797749979                                 5
319         5.771147755112591        0.0                                 0
320         5.771147755112591        2.23606797749979                                 5
321         5.771147755112591        2.23606797749979                                 5
322         5.771147755112591        2.23606797749979                                 5
323         5.771147755112591        2.23606797749979                                 5
324         5.771147755112591        2.23606797749979                                 5
325         5.771147755112591        2.23606797749979                                 5
326         5.771147755112591        2.23606797749979                                 5
327         5.771147755112591        2.23606797749979                                 5
328         5.761122507538436        0.0                                 0
329         5.761122507538436        2.23606797749979                                 5
330         5.761122507538436        2.23606797749979                                 5
331         5.7278228043413995        0.0                                 0
332         5.7278228043413995        2.23606797749979                                 5
