iteracion  mejor_solucion    distancia_euclidiana                 distancia_hamming
0         3826.3267406428663        0.0                                 0
1         3826.3267406428663        0.0                                 0
2         3934.9162624383757        0.0                                 0
3         3915.5649970051986        0.0                                 0
4         3909.57011634276        0.0                                 0
5         3833.552443703534        0.0                                 0
6         3833.552443703534        0.0                                 0
7         3915.386631786651        0.0                                 0
8         4283.801839317869        0.0                                 0
9         4399.8886091236745        0.0                                 0
10         4399.8886091236745        0.0                                 0
11         3993.585473592475        0.0                                 0
12         3907.0375990173925        0.0                                 0
13         3343.4371430739557        0.0                                 0
14         3096.5565440985874        0.0                                 0
15         3096.5565440985874        0.0                                 0
16         3530.5383559875436        2.23606797749979                                 5
17         3529.877285984906        0.0                                 0
18         3529.877285984906        0.0                                 0
19         3064.328034674792        0.0                                 0
20         3064.328034674792        2.23606797749979                                 5
21         2704.547222923965        0.0                                 0
22         2704.547222923965        2.23606797749979                                 5
23         2702.947063100477        0.0                                 0
24         2670.4248824494753        0.0                                 0
25         2670.4248824494753        0.0                                 0
26         2672.872339982449        0.0                                 0
27         2719.982394929114        0.0                                 0
28         2718.079198976978        0.0                                 0
29         2718.079198976978        0.0                                 0
30         2775.4351076631388        0.0                                 0
31         2764.0163973975073        0.0                                 0
32         2763.1105940561442        0.0                                 0
33         2763.1105940561442        0.0                                 0
34         2770.6521266392974        0.0                                 0
35         2770.6521266392974        0.0                                 0
36         3094.1749480933995        2.23606797749979                                 5
37         3094.1749480933995        0.0                                 0
38         3207.9788783107797        2.23606797749979                                 5
39         3207.9788783107797        0.0                                 0
40         3450.7234872487033        0.0                                 0
41         3448.45299851333        0.0                                 0
42         3448.45299851333        0.0                                 0
43         3764.2550789808297        0.0                                 0
44         3162.457327397713        0.0                                 0
45         3162.457327397713        0.0                                 0
46         3189.9196106415993        0.0                                 0
47         3425.356190192474        0.0                                 0
48         3425.356190192474        0.0                                 0
49         3434.278912728446        0.0                                 0
50         3607.5446145396672        0.0                                 0
51         3636.2648246288886        0.0                                 0
52         3633.447718872065        0.0                                 0
53         3631.881025642042        0.0                                 0
54         3628.45264172368        0.0                                 0
55         3584.2676993641903        0.0                                 0
56         3532.0212657009583        0.0                                 0
57         3531.1401624285418        0.0                                 0
58         3531.1401624285418        0.0                                 0
59         3071.3319822617973        0.0                                 0
60         3071.3319822617973        0.0                                 0
61         3223.7715344790413        0.0                                 0
62         3977.4080945064406        0.0                                 0
63         4099.758973334062        0.0                                 0
64         3942.442841509148        0.0                                 0
65         3941.213684606848        0.0                                 0
66         3939.340352758096        0.0                                 0
67         3421.119509696345        0.0                                 0
68         3421.119509696345        0.0                                 0
69         3306.5598056007575        0.0                                 0
70         3306.5598056007575        0.0                                 0
71         3344.613348243829        0.0                                 0
72         3817.2716402160213        0.0                                 0
73         4310.476494025931        0.0                                 0
74         4329.732886611523        0.0                                 0
75         4317.66741771379        0.0                                 0
76         4317.66741771379        0.0                                 0
77         4393.796702099318        0.0                                 0
78         4398.744696220811        0.0                                 0
79         4544.266599973049        0.0                                 0
80         4962.870850091781        0.0                                 0
81         4854.862897216927        0.0                                 0
82         4837.956222612652        0.0                                 0
83         4813.714994805018        0.0                                 0
84         4813.714994805018        0.0                                 0
85         4816.395730714507        0.0                                 0
86         4820.775851518552        0.0                                 0
87         4665.079434968867        0.0                                 0
88         4659.609873973893        0.0                                 0
89         4659.609873973893        0.0                                 0
90         5015.813459468226        0.0                                 0
91         5685.458158838849        0.0                                 0
92         4537.045468832133        0.0                                 0
93         3790.2349898477382        0.0                                 0
94         3676.701036079616        0.0                                 0
95         3675.0859038311505        0.0                                 0
96         3675.0859038311505        0.0                                 0
97         3678.279675472091        0.0                                 0
98         3716.4229824194235        0.0                                 0
99         3729.917447925023        0.0                                 0
100         3824.6666871544585        0.0                                 0
101         2699.5882429494623        0.0                                 0
102         2699.5882429494623        0.0                                 0
103         2709.4024833769345        0.0                                 0
104         2916.899264317941        0.0                                 0
105         2916.545236120147        0.0                                 0
106         2916.545236120147        0.0                                 0
107         2858.9730801775145        0.0                                 0
108         2806.089103266323        0.0                                 0
109         2806.089103266323        0.0                                 0
110         2754.7719400988944        0.0                                 0
111         2754.7719400988944        0.0                                 0
112         2855.6115735238423        0.0                                 0
113         2855.6115735238423        0.0                                 0
114         4232.637940776314        0.0                                 0
115         4206.415174613743        0.0                                 0
116         4132.885325381374        0.0                                 0
117         4132.885325381374        0.0                                 0
118         4585.479179341488        0.0                                 0
119         4595.743240874438        0.0                                 0
120         4515.74364468848        0.0                                 0
121         4515.331007807252        0.0                                 0
122         4507.5914448877675        0.0                                 0
123         4501.22213651862        0.0                                 0
124         4501.22213651862        0.0                                 0
125         5875.354903549607        0.0                                 0
126         5875.354903549607        0.0                                 0
127         4969.515175957439        0.0                                 0
128         4370.444526340908        0.0                                 0
129         4370.444526340908        0.0                                 0
130         4400.771752927188        0.0                                 0
131         4396.628965769811        0.0                                 0
132         4393.513938411802        0.0                                 0
133         4393.513938411802        0.0                                 0
134         4372.015542177672        0.0                                 0
135         4372.015542177672        0.0                                 0
136         4528.971165572119        0.0                                 0
137         4233.257542290921        0.0                                 0
138         4233.257542290921        0.0                                 0
139         5032.564349030747        0.0                                 0
140         3953.511691473988        0.0                                 0
141         3830.5982919415424        0.0                                 0
142         3523.6616580261198        0.0                                 0
143         3363.9374240463685        0.0                                 0
144         3192.5969772013955        0.0                                 0
145         3176.4582194140394        0.0                                 0
146         3161.8305126765445        0.0                                 0
147         3161.8305126765445        0.0                                 0
148         3582.6992334633114        0.0                                 0
149         3281.73311510286        0.0                                 0
150         3281.73311510286        0.0                                 0
151         3326.8012075896313        0.0                                 0
152         3352.02773911035        0.0                                 0
153         3471.095789523325        0.0                                 0
154         3470.361761420239        0.0                                 0
155         3293.6864091516914        0.0                                 0
156         3293.6864091516914        0.0                                 0
157         3559.541161179845        0.0                                 0
