iteracion  mejor_solucion    distancia_euclidiana                 distancia_hamming
0         296.0526106458861        0.0                                 0
1         296.0526106458861        0.0                                 0
2         296.0629950483883        0.0                                 0
3         296.0826126064406        0.0                                 0
4         296.82338883680404        0.0                                 0
5         293.43486937132667        0.0                                 0
6         293.43486937132667        0.0                                 0
7         300.971515687768        0.0                                 0
8         300.826607177323        0.0                                 0
9         299.5089812540189        0.0                                 0
10         282.6985439924765        0.0                                 0
11         282.6985439924765        0.0                                 0
12         289.5024403945866        0.0                                 0
13         292.080083153714        0.0                                 0
14         292.0582234299384        0.0                                 0
15         288.41220737055033        0.0                                 0
16         253.74057281878288        0.0                                 0
17         253.62846405044115        0.0                                 0
18         253.62846405044115        0.0                                 0
19         258.6996329249228        0.0                                 0
20         258.6996329249228        0.0                                 0
21         298.4802347328659        0.0                                 0
22         298.4802347328659        0.0                                 0
23         301.64728981975856        0.0                                 0
24         301.64728981975856        0.0                                 0
25         289.3250553338602        0.0                                 0
26         287.3598438506012        0.0                                 0
27         287.3598438506012        0.0                                 0
28         290.1078100262547        0.0                                 0
29         290.1078100262547        0.0                                 0
30         288.3184145791293        0.0                                 0
31         288.3184145791293        0.0                                 0
32         290.0500049635664        0.0                                 0
33         290.711087608693        0.0                                 0
34         291.0764184185058        0.0                                 0
35         291.0764184185058        0.0                                 0
36         274.76626538629483        0.0                                 0
37         271.011362128579        0.0                                 0
38         271.011362128579        0.0                                 0
39         271.5564186754736        0.0                                 0
40         261.0352299945435        0.0                                 0
41         257.79925519899956        0.0                                 0
42         251.14855358028842        0.0                                 0
43         251.14855358028842        0.0                                 0
44         250.75134148087767        0.0                                 0
45         246.2806822913505        0.0                                 0
46         246.2806822913505        0.0                                 0
47         246.01552901368092        0.0                                 0
48         246.01552901368092        0.0                                 0
49         244.12991506731947        0.0                                 0
50         244.12991506731947        0.0                                 0
51         249.73673809956466        0.0                                 0
52         260.5273204844558        0.0                                 0
53         260.42819586073796        0.0                                 0
54         257.0035278869555        0.0                                 0
55         257.0035278869555        0.0                                 0
56         259.3596964992283        0.0                                 0
57         259.3596964992283        0.0                                 0
58         261.5859541434187        0.0                                 0
59         262.4435696670934        0.0                                 0
60         257.3883253775452        0.0                                 0
61         256.7612531964674        0.0                                 0
62         256.7612531964674        0.0                                 0
63         258.8755776786491        0.0                                 0
64         257.4013118270369        0.0                                 0
65         257.4013118270369        0.0                                 0
66         277.5152651792313        0.0                                 0
67         272.36679009396335        0.0                                 0
68         272.36679009396335        0.0                                 0
69         272.4368901995343        0.0                                 0
70         278.3691564769457        0.0                                 0
71         278.3691564769457        0.0                                 0
72         289.30255488108037        0.0                                 0
73         289.30255488108037        0.0                                 0
74         302.2735934584464        0.0                                 0
75         303.2969611306117        0.0                                 0
76         303.2969611306117        0.0                                 0
77         319.00241758417854        0.0                                 0
78         307.8376731527906        0.0                                 0
79         307.8376731527906        0.0                                 0
80         313.71732748940644        0.0                                 0
81         286.5813938875727        0.0                                 0
82         263.95711176700735        0.0                                 0
83         258.36190413044847        0.0                                 0
84         242.64933522510302        0.0                                 0
85         242.64933522510302        0.0                                 0
86         231.18436645667077        0.0                                 0
87         220.39405601924952        0.0                                 0
88         220.3659487421165        0.0                                 0
89         207.14559447925618        0.0                                 0
90         207.14559447925618        0.0                                 0
91         207.1115279443119        0.0                                 0
92         204.20789747559442        0.0                                 0
93         204.20789747559442        0.0                                 0
94         215.68068278101808        0.0                                 0
95         219.48510353837668        0.0                                 0
96         234.1472527028559        0.0                                 0
97         232.23909606590627        0.0                                 0
98         232.23909606590627        0.0                                 0
99         229.28086123772312        0.0                                 0
