iteracion  mejor_solucion    distancia_euclidiana                 distancia_hamming
0         244.40254114563217        0.0                                 0
1         241.52451295888213        0.0                                 0
2         241.05638075861887        0.0                                 0
3         241.05638075861887        0.0                                 0
4         241.06708675247063        0.0                                 0
5         254.81631583688565        0.0                                 0
6         271.08227482982636        0.0                                 0
7         281.63625021127575        0.0                                 0
8         281.6038562745131        0.0                                 0
9         277.74773482208815        0.0                                 0
10         277.74170387919435        0.0                                 0
11         277.74170387919435        0.0                                 0
12         264.9939957739109        0.0                                 0
13         264.8455005306607        0.0                                 0
14         264.8455005306607        0.0                                 0
15         255.00269832883453        0.0                                 0
16         253.9142461107998        0.0                                 0
17         253.9142461107998        0.0                                 0
18         265.94650992122973        0.0                                 0
19         266.0451386483372        0.0                                 0
20         279.19438090866504        0.0                                 0
21         262.5201865432798        0.0                                 0
22         250.80663372214482        0.0                                 0
23         250.80663372214482        0.0                                 0
24         254.26536036261032        0.0                                 0
25         254.2047920970388        0.0                                 0
26         253.06222621165253        0.0                                 0
27         253.05957586696732        0.0                                 0
28         251.83702076802254        0.0                                 0
29         251.83702076802254        0.0                                 0
30         240.67652368240385        0.0                                 0
31         224.366523094473        0.0                                 0
32         224.366523094473        0.0                                 0
33         224.45915016427978        0.0                                 0
34         211.88135804577885        0.0                                 0
35         211.88135804577885        0.0                                 0
36         206.73204304661658        0.0                                 0
37         206.70240284905503        0.0                                 0
38         204.76597377952686        0.0                                 0
39         203.3099934291395        0.0                                 0
40         203.3099934291395        0.0                                 0
41         206.45082052296377        0.0                                 0
42         207.63244779799516        0.0                                 0
43         191.3764809241867        0.0                                 0
44         190.15006919596357        0.0                                 0
45         190.15006919596357        0.0                                 0
46         170.91365123290294        0.0                                 0
47         170.91365123290294        0.0                                 0
48         172.02785486476282        0.0                                 0
49         180.20174661730007        0.0                                 0
50         180.20174661730007        0.0                                 0
51         183.40604608844367        0.0                                 0
52         194.38515705889102        0.0                                 0
53         210.39480053488833        0.0                                 0
54         210.6027209578202        0.0                                 0
55         216.5713758059055        0.0                                 0
56         217.70086003824503        0.0                                 0
57         222.68422562895103        0.0                                 0
58         222.68422562895103        0.0                                 0
59         233.0141243933477        0.0                                 0
60         231.69070179588553        0.0                                 0
61         228.04527425608887        0.0                                 0
62         226.80386769027416        0.0                                 0
63         226.80386769027416        0.0                                 0
64         228.79250267917925        0.0                                 0
65         228.32671284849786        0.0                                 0
66         228.2339792792929        0.0                                 0
67         228.2339792792929        0.0                                 0
68         228.70725915746897        0.0                                 0
69         225.84938511151617        0.0                                 0
70         225.84938511151617        0.0                                 0
