iteracion  mejor_solucion    distancia_euclidiana                 distancia_hamming
0         245.7118920740151        0.0                                 0
1         245.70177521736247        0.0                                 0
2         244.51675109126893        0.0                                 0
3         244.51675109126893        0.0                                 0
4         259.18050513180344        0.0                                 0
5         259.18050513180344        0.0                                 0
6         257.51183633469566        0.0                                 0
7         257.51183633469566        0.0                                 0
8         271.45540695982163        0.0                                 0
9         272.3875162277094        0.0                                 0
10         267.0890739409757        0.0                                 0
11         253.8780644179837        0.0                                 0
12         253.8780644179837        0.0                                 0
13         260.55332612762044        0.0                                 0
14         260.56341312935115        0.0                                 0
15         258.50156601235454        0.0                                 0
16         258.50156601235454        0.0                                 0
17         260.8999266355821        0.0                                 0
18         278.2322304235622        0.0                                 0
19         272.30687918760924        0.0                                 0
20         272.25008841910847        0.0                                 0
21         272.25008841910847        0.0                                 0
22         275.3925017549572        0.0                                 0
23         257.675618660418        0.0                                 0
24         253.04475293271068        0.0                                 0
25         253.04475293271068        0.0                                 0
26         254.49736506031778        0.0                                 0
27         254.5653044354892        0.0                                 0
28         240.89566027974968        0.0                                 0
29         231.55577738521578        0.0                                 0
30         230.2339218157152        0.0                                 0
31         225.51289256956218        0.0                                 0
32         225.51289256956218        0.0                                 0
33         226.19585231098247        0.0                                 0
34         244.24699246199972        0.0                                 0
35         244.34287243372674        0.0                                 0
36         263.8577133015962        0.0                                 0
37         252.74747330984263        0.0                                 0
38         252.4972949759042        0.0                                 0
39         231.75937130072367        0.0                                 0
40         228.27897450632676        0.0                                 0
41         227.85341553715722        0.0                                 0
42         223.7006329247519        0.0                                 0
43         210.0852746490447        0.0                                 0
44         210.0852746490447        0.0                                 0
45         228.61724398746907        2.23606797749979                                 5
46         228.61724398746907        0.0                                 0
47         235.6327616830823        0.0                                 0
48         242.23388274655164        0.0                                 0
49         252.2348454456162        0.0                                 0
50         235.04902447878473        0.0                                 0
51         235.04902447878473        0.0                                 0
52         236.77093414217325        0.0                                 0
53         236.77093414217325        0.0                                 0
54         244.6824987580144        0.0                                 0
55         251.92069145096        0.0                                 0
56         253.67390429690218        0.0                                 0
57         253.67390429690218        0.0                                 0
58         258.8620124840585        0.0                                 0
59         260.77441027992273        0.0                                 0
60         273.9595653770037        0.0                                 0
61         275.9091977483226        0.0                                 0
62         275.9091977483226        0.0                                 0
63         280.52516756447255        0.0                                 0
64         280.30070797319206        0.0                                 0
65         274.1816059222035        0.0                                 0
66         274.1816059222035        0.0                                 0
67         277.77984000143204        0.0                                 0
68         267.751177143318        0.0                                 0
69         263.0922896474606        0.0                                 0
70         259.87385161393127        0.0                                 0
71         259.87385161393127        0.0                                 0
72         259.9060321975203        0.0                                 0
73         281.3801798331638        0.0                                 0
74         285.6214439875482        0.0                                 0
75         298.5625796643561        0.0                                 0
76         308.9526627420669        0.0                                 0
77         317.8209155988191        0.0                                 0
78         317.1335002232556        0.0                                 0
79         317.1335002232556        0.0                                 0
80         300.44440383890236        0.0                                 0
81         300.44440383890236        0.0                                 0
82         287.79915809618706        0.0                                 0
83         286.20978012999063        0.0                                 0
84         268.29200847994554        0.0                                 0
85         267.25829525817744        0.0                                 0
86         260.191541563987        0.0                                 0
87         260.191541563987        0.0                                 0
88         276.6628847941871        0.0                                 0
89         275.8150766046358        0.0                                 0
90         275.8150766046358        0.0                                 0
91         276.28637652034007        0.0                                 0
92         265.91496039125605        0.0                                 0
93         265.6497146531005        0.0                                 0
94         262.9353082815077        0.0                                 0
95         262.88347249808794        0.0                                 0
96         262.88347249808794        0.0                                 0
97         264.88395499805665        0.0                                 0
98         264.690847819324        0.0                                 0
99         261.78689264836356        0.0                                 0
100         261.78689264836356        0.0                                 0
101         266.0136549510856        0.0                                 0
102         271.89139718561717        0.0                                 0
103         271.2951932741915        0.0                                 0
104         271.2951932741915        0.0                                 0
105         271.90350995564927        0.0                                 0
106         270.99233635077695        0.0                                 0
107         267.0611070552155        0.0                                 0
